rank,candidate_id,config_id,config_hash,model_family,feature_profile,split_policy,source_run_id,source_run_dir,manifest_path,sample_rows,params_json,positive_weight,class_weight_alpha,roc_auc,average_precision,brier,max_f1,best_threshold,train_seconds
1,boosting_search_boundary_mcw10_n200_lr0_08_d6_b64_boosting_search_boundary_mcw10_n200_lr0_08_d6_b64,boosting_search_boundary_mcw10_n200_lr0_08_d6_b64,887e66db8fcfddb4,boosting,baseline,inner_tuning,boosting_search_boundary_mcw10_n200_lr0_08_d6_b64_boosting_search_boundary_mcw10_n200_lr0_08_d6_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw10_n200_lr0_08_d6_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw10_n200_lr0_08_d6_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 10.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 200, ""subsample"": 0.8}",balanced,,0.9170579647967412,0.5647605042836769,0.0780872768919905,0.550609666519759,0.7941236771921303,4727.444913375002
2,boosting_search_boundary_mcw20_n200_lr0_08_d6_b96_boosting_search_boundary_mcw20_n200_lr0_08_d6_b96,boosting_search_boundary_mcw20_n200_lr0_08_d6_b96,9e268d04957e817f,boosting,baseline,inner_tuning,boosting_search_boundary_mcw20_n200_lr0_08_d6_b96_boosting_search_boundary_mcw20_n200_lr0_08_d6_b96_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw20_n200_lr0_08_d6_b96,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw20_n200_lr0_08_d6_b96/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 20.0, ""min_delta"": 0.0001, ""n_bins"": 96, ""n_estimators"": 200, ""subsample"": 0.8}",balanced,,0.9167532424708492,0.5684338344872015,0.0780086501443481,0.5452710495963091,0.7873931078983469,5687.909019874991
3,boosting_search_boundary_mcw20_n200_lr0_08_d6_b64_boosting_search_boundary_mcw20_n200_lr0_08_d6_b64,boosting_search_boundary_mcw20_n200_lr0_08_d6_b64,03fa015988f955bb,boosting,baseline,inner_tuning,boosting_search_boundary_mcw20_n200_lr0_08_d6_b64_boosting_search_boundary_mcw20_n200_lr0_08_d6_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw20_n200_lr0_08_d6_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw20_n200_lr0_08_d6_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 20.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 200, ""subsample"": 0.8}",balanced,,0.9159592948832558,0.5675431598044572,0.0795608786632231,0.5467516697024893,0.8100386899508082,4745.656492082984
4,boosting_search_boundary_mcw10_n200_lr0_08_d6_b96_boosting_search_boundary_mcw10_n200_lr0_08_d6_b96,boosting_search_boundary_mcw10_n200_lr0_08_d6_b96,97b447fb23009a94,boosting,baseline,inner_tuning,boosting_search_boundary_mcw10_n200_lr0_08_d6_b96_boosting_search_boundary_mcw10_n200_lr0_08_d6_b96_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw10_n200_lr0_08_d6_b96,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw10_n200_lr0_08_d6_b96/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 10.0, ""min_delta"": 0.0001, ""n_bins"": 96, ""n_estimators"": 200, ""subsample"": 0.8}",balanced,,0.9156463170464952,0.5644753200296861,0.078293574986095,0.5490434254479198,0.81226354055789,5288.317727166999
5,boosting_search_boundary_mcw20_n150_lr0_1_d6_b128_boosting_search_boundary_mcw20_n150_lr0_1_d6_b128,boosting_search_boundary_mcw20_n150_lr0_1_d6_b128,e546accbc1889d02,boosting,baseline,inner_tuning,boosting_search_boundary_mcw20_n150_lr0_1_d6_b128_boosting_search_boundary_mcw20_n150_lr0_1_d6_b128_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw20_n150_lr0_1_d6_b128,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw20_n150_lr0_1_d6_b128/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 20.0, ""min_delta"": 0.0001, ""n_bins"": 128, ""n_estimators"": 150, ""subsample"": 0.8}",balanced,,0.9147840102007662,0.5571148804550978,0.0800799825958028,0.5454013744699518,0.7992280150010846,3164.312704166005
6,boosting_search_boundary_mcw10_n150_lr0_1_d6_b128_boosting_search_boundary_mcw10_n150_lr0_1_d6_b128,boosting_search_boundary_mcw10_n150_lr0_1_d6_b128,2ac8b80f02976c6f,boosting,baseline,inner_tuning,boosting_search_boundary_mcw10_n150_lr0_1_d6_b128_boosting_search_boundary_mcw10_n150_lr0_1_d6_b128_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw10_n150_lr0_1_d6_b128,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw10_n150_lr0_1_d6_b128/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 10.0, ""min_delta"": 0.0001, ""n_bins"": 128, ""n_estimators"": 150, ""subsample"": 0.8}",balanced,,0.914059189134206,0.5618268089782401,0.0796556007552422,0.5397744590064005,0.8188400717921939,3240.7141803330014
7,boosting_search_boundary_mcw20_n150_lr0_1_d6_b96_boosting_search_boundary_mcw20_n150_lr0_1_d6_b96,boosting_search_boundary_mcw20_n150_lr0_1_d6_b96,30c076521cfd9c0b,boosting,baseline,inner_tuning,boosting_search_boundary_mcw20_n150_lr0_1_d6_b96_boosting_search_boundary_mcw20_n150_lr0_1_d6_b96_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw20_n150_lr0_1_d6_b96,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw20_n150_lr0_1_d6_b96/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 20.0, ""min_delta"": 0.0001, ""n_bins"": 96, ""n_estimators"": 150, ""subsample"": 0.8}",balanced,,0.9138320436298276,0.5612797012183351,0.0798235287373918,0.5436514387904406,0.8538562336162647,3173.382760083012
8,boosting_search_boundary_mcw10_n150_lr0_1_d6_b64_boosting_search_boundary_mcw10_n150_lr0_1_d6_b64,boosting_search_boundary_mcw10_n150_lr0_1_d6_b64,f501110145aa7078,boosting,baseline,inner_tuning,boosting_search_boundary_mcw10_n150_lr0_1_d6_b64_boosting_search_boundary_mcw10_n150_lr0_1_d6_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw10_n150_lr0_1_d6_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw10_n150_lr0_1_d6_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 10.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 150, ""subsample"": 0.8}",balanced,,0.9120669464119088,0.5626097008439583,0.0787620575656064,0.548537134283571,0.8104181770506372,3176.8682650830015
9,boosting_search_boundary_mcw20_n150_lr0_1_d6_b64_boosting_search_boundary_mcw20_n150_lr0_1_d6_b64,boosting_search_boundary_mcw20_n150_lr0_1_d6_b64,97715990de26ed36,boosting,baseline,inner_tuning,boosting_search_boundary_mcw20_n150_lr0_1_d6_b64_boosting_search_boundary_mcw20_n150_lr0_1_d6_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw20_n150_lr0_1_d6_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw20_n150_lr0_1_d6_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 20.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 150, ""subsample"": 0.8}",balanced,,0.9114627581057518,0.5610367949205323,0.084876154347958,0.5474807722492544,0.8368525016199202,3132.0209054169973
10,boosting_search_long_anchor_boosting_search_long_anchor,boosting_search_long_anchor,5b2cd8130b9f957c,boosting,baseline,inner_tuning,boosting_search_long_anchor_boosting_search_long_anchor_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_long_anchor,outputs/experiments/boosting-search-2026-05-27/boosting_search_long_anchor/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 96, ""n_estimators"": 300, ""subsample"": 0.8}",balanced,,0.9112740486064972,0.561596619030735,0.0882335300846152,0.5460895975702353,0.8100588501875691,5862.481015125013
