model,bin,count,mean_pred,frac_positive,calibration_error
boosting,0,43570,0.0544043109110055,0.002455818223548313,0.05194849268745719
boosting,1,29155,0.14463723985182866,0.006002400960384154,0.1386348388914445
boosting,2,16483,0.24501744267566547,0.015773827579930837,0.22924361509573463
boosting,3,9089,0.34613698657285563,0.026295522059632523,0.3198414645132231
boosting,4,6119,0.4471150422464199,0.04722993953260337,0.39988510271381655
boosting,5,4161,0.5480217600578814,0.07089641913001682,0.47712534092786457
boosting,6,3258,0.6479982888868618,0.10313075506445672,0.5448675338224052
boosting,7,2519,0.7469691131483149,0.17189360857483127,0.5750755045734837
boosting,8,1664,0.8470595621827383,0.26742788461538464,0.5796316775673536
boosting,9,2090,0.9661885241659114,0.7105263157894737,0.2556622083764377
lr,0,13626,0.07089756985848175,0.004036400998091883,0.06686116886038987
lr,1,26603,0.14639314537503656,0.006615795211066421,0.13977735016397014
lr,2,21124,0.2512060604984255,0.014391213785267941,0.23681484671315753
lr,3,21150,0.3472087871235821,0.018959810874704493,0.3282489762488776
lr,4,13330,0.4462427192440039,0.03210802700675169,0.4141346922372522
lr,5,8085,0.5453841698605413,0.05318491032776747,0.4921992595327738
lr,6,5156,0.6456063989418532,0.0735065942591156,0.5720998046827377
lr,7,3079,0.747512012972708,0.12569015914257875,0.6218218538301292
lr,8,2128,0.847146292651007,0.17904135338345864,0.6681049392675484
lr,9,3827,0.9761407352324278,0.29344133786255555,0.6826993973698723
