rank,candidate_id,config_id,config_hash,model_family,feature_profile,split_policy,source_run_id,source_run_dir,manifest_path,sample_rows,params_json,positive_weight,class_weight_alpha,roc_auc,average_precision,brier,max_f1,best_threshold,train_seconds
1,lr_epoch_20_lr_0_03_lr_epoch_20_lr_0_03,lr_epoch_20_lr_0_03,034421e15780eca7,lr,baseline,inner_tuning,lr_epoch_20_lr_0_03_lr_epoch_20_lr_0_03_inner_tuning,outputs/experiments/lr-audit-2026-05-27/lr_epoch_20_lr_0_03,outputs/experiments/lr-audit-2026-05-27/lr_epoch_20_lr_0_03/manifest.json,,"{""batch_size"": 2048, ""epochs"": 20, ""l2"": 0.05, ""learning_rate"": 0.03, ""tolerance"": 0.0}",,1.0,0.8580518644262399,0.4119495642656352,0.1377700011300829,0.4328381069076428,0.8401180569871586,29.888803584006386
2,lr_l2_0_01_lr_l2_0_01,lr_l2_0_01,bf6052202f9b027c,lr,baseline,inner_tuning,lr_l2_0_01_lr_l2_0_01_inner_tuning,outputs/experiments/lr-audit-2026-05-27/lr_l2_0_01,outputs/experiments/lr-audit-2026-05-27/lr_l2_0_01/manifest.json,,"{""batch_size"": 2048, ""epochs"": 12, ""l2"": 0.01, ""learning_rate"": 0.05, ""tolerance"": 0.0}",,1.0,0.8578895258717362,0.4167667284106623,0.1356284045202641,0.4418639273485187,0.8378814874320769,14.72659074999683
3,lr_epoch_20_lr_0_05_lr_epoch_20_lr_0_05,lr_epoch_20_lr_0_05,e8ce2dde19545e82,lr,baseline,inner_tuning,lr_epoch_20_lr_0_05_lr_epoch_20_lr_0_05_inner_tuning,outputs/experiments/lr-audit-2026-05-27/lr_epoch_20_lr_0_05,outputs/experiments/lr-audit-2026-05-27/lr_epoch_20_lr_0_05/manifest.json,,"{""batch_size"": 2048, ""epochs"": 20, ""l2"": 0.05, ""learning_rate"": 0.05, ""tolerance"": 0.0}",,1.0,0.8576431779777038,0.410882895544915,0.1386889613304095,0.430327868852459,0.8315325772506719,31.245169458998134
4,lr_epoch_20_lr_0_08_lr_epoch_20_lr_0_08,lr_epoch_20_lr_0_08,c5607c80e474128b,lr,baseline,inner_tuning,lr_epoch_20_lr_0_08_lr_epoch_20_lr_0_08_inner_tuning,outputs/experiments/lr-audit-2026-05-27/lr_epoch_20_lr_0_08,outputs/experiments/lr-audit-2026-05-27/lr_epoch_20_lr_0_08/manifest.json,,"{""batch_size"": 2048, ""epochs"": 20, ""l2"": 0.05, ""learning_rate"": 0.08, ""tolerance"": 0.0}",,1.0,0.8568971991906554,0.4090641041095332,0.1398582109791021,0.4290012033694345,0.8525694870029156,30.71028045800631
5,lr_epoch_30_lr_0_03_lr_epoch_30_lr_0_03,lr_epoch_30_lr_0_03,f04e52587fafbad1,lr,baseline,inner_tuning,lr_epoch_30_lr_0_03_lr_epoch_30_lr_0_03_inner_tuning,outputs/experiments/lr-audit-2026-05-27/lr_epoch_30_lr_0_03,outputs/experiments/lr-audit-2026-05-27/lr_epoch_30_lr_0_03/manifest.json,,"{""batch_size"": 2048, ""epochs"": 30, ""l2"": 0.05, ""learning_rate"": 0.03, ""tolerance"": 0.0}",,1.0,0.8566965480473469,0.4023713620268562,0.1336265386491355,0.4270146257527961,0.7952432744147566,44.003766290989006
6,lr_epoch_12_lr_0_03_lr_epoch_12_lr_0_03,lr_epoch_12_lr_0_03,6c57c31f14e8399b,lr,baseline,inner_tuning,lr_epoch_12_lr_0_03_lr_epoch_12_lr_0_03_inner_tuning,outputs/experiments/lr-audit-2026-05-27/lr_epoch_12_lr_0_03,outputs/experiments/lr-audit-2026-05-27/lr_epoch_12_lr_0_03/manifest.json,,"{""batch_size"": 2048, ""epochs"": 12, ""l2"": 0.05, ""learning_rate"": 0.03, ""tolerance"": 0.0}",,1.0,0.8563812119180362,0.4092639724333147,0.1404952684868501,0.4321916756258639,0.83041236959109,16.931564208003692
7,lr_alpha_1_lr_alpha_1,lr_alpha_1,cf9513640ddea57e,lr,baseline,inner_tuning,lr_alpha_1_lr_alpha_1_inner_tuning,outputs/experiments/lr-audit-2026-05-27/lr_alpha_1,outputs/experiments/lr-audit-2026-05-27/lr_alpha_1/manifest.json,,"{""batch_size"": 2048, ""epochs"": 12, ""l2"": 0.05, ""learning_rate"": 0.05, ""tolerance"": 0.0}",,1.0,0.856050982561625,0.4074410251995656,0.1409499430764871,0.430879155017086,0.8329255932500989,17.577116041007685
8,lr_epoch_12_lr_0_05_lr_epoch_12_lr_0_05,lr_epoch_12_lr_0_05,58cda0ac9856f7b6,lr,baseline,inner_tuning,lr_epoch_12_lr_0_05_lr_epoch_12_lr_0_05_inner_tuning,outputs/experiments/lr-audit-2026-05-27/lr_epoch_12_lr_0_05,outputs/experiments/lr-audit-2026-05-27/lr_epoch_12_lr_0_05/manifest.json,,"{""batch_size"": 2048, ""epochs"": 12, ""l2"": 0.05, ""learning_rate"": 0.05, ""tolerance"": 0.0}",,1.0,0.856050982561625,0.4074410251995656,0.1409499430764871,0.430879155017086,0.8329255932500989,17.928201540998998
9,lr_l2_0_05_lr_l2_0_05,lr_l2_0_05,c9eece9130e1c980,lr,baseline,inner_tuning,lr_l2_0_05_lr_l2_0_05_inner_tuning,outputs/experiments/lr-audit-2026-05-27/lr_l2_0_05,outputs/experiments/lr-audit-2026-05-27/lr_l2_0_05/manifest.json,,"{""batch_size"": 2048, ""epochs"": 12, ""l2"": 0.05, ""learning_rate"": 0.05, ""tolerance"": 0.0}",,1.0,0.856050982561625,0.4074410251995656,0.1409499430764871,0.430879155017086,0.8329255932500989,18.7072811669932
10,lr_epoch_12_lr_0_08_lr_epoch_12_lr_0_08,lr_epoch_12_lr_0_08,6d486d1a520958f0,lr,baseline,inner_tuning,lr_epoch_12_lr_0_08_lr_epoch_12_lr_0_08_inner_tuning,outputs/experiments/lr-audit-2026-05-27/lr_epoch_12_lr_0_08,outputs/experiments/lr-audit-2026-05-27/lr_epoch_12_lr_0_08/manifest.json,,"{""batch_size"": 2048, ""epochs"": 12, ""l2"": 0.05, ""learning_rate"": 0.08, ""tolerance"": 0.0}",,1.0,0.8554513487637159,0.4036743501895513,0.1407310802778462,0.4252720998141758,0.7739895197909583,18.37179783299507
