model,threshold,accuracy,precision,recall,f1,tp,fp,tn,fn
boosting,0.0,0.034409184813899145,0.034409184813899145,1.0,0.06652915561667158,4064,114044,0,0
boosting,0.01,0.04202086226165882,0.03466516504986904,0.999753937007874,0.0670069513733704,4063,113144,900,1
boosting,0.02,0.06976665424865378,0.03565409732462608,0.999507874015748,0.06885212556783511,4062,109866,4178,2
boosting,0.03,0.11050055881058014,0.0371921656325326,0.9985236220472441,0.07171321781697047,4058,105051,8993,6
boosting,0.04,0.15611135570833473,0.03903492700237218,0.9960629921259843,0.07512573538964051,4048,99654,14390,16
boosting,0.05,0.20225556270532055,0.041041356981408705,0.9918799212598425,0.07882129798009425,4031,94187,19857,33
boosting,0.06,0.2461560605547465,0.04315192963213867,0.9874507874015748,0.0826902669455291,4013,88984,25060,51
boosting,0.07,0.28751651031259523,0.045410167336466634,0.984251968503937,0.08681497558328811,4000,84086,29958,64
boosting,0.08,0.32548176245470245,0.047650958523801544,0.9798228346456693,0.09088211799612005,3982,79584,34460,82
boosting,0.09,0.36494564297084026,0.050317575019967295,0.9766240157480315,0.09570427884209638,3969,74910,39134,95
boosting,0.1,0.40149693500863615,0.05308701601867504,0.9736712598425197,0.100684460955192,3957,70581,43463,107
boosting,0.11,0.43400955058082435,0.05574424726161162,0.969242125984252,0.10542515322645399,3939,66723,47321,125
boosting,0.12,0.46340637382734445,0.05837502978317846,0.9645669291338582,0.1100876207593799,3920,63232,50812,144
boosting,0.13,0.49260846005351033,0.06135653375630133,0.9613681102362205,0.11535111675351707,3907,59770,54274,157
boosting,0.14,0.5189064246283063,0.06422942857614855,0.9566929133858267,0.12037710729600447,3888,56645,57399,176
boosting,0.15,0.5431723507298405,0.06716638037235612,0.9525098425196851,0.1254842212749404,3871,53762,60282,193
boosting,0.16,0.5661174518237545,0.07021443276430614,0.9483267716535433,0.13074822316082302,3854,51035,63009,210
boosting,0.17,0.5881989365665323,0.07348860352515645,0.9448818897637795,0.1363709004385887,3840,48413,65631,224
boosting,0.18,0.60829918379788,0.07664680270470917,0.9399606299212598,0.141736081479695,3820,46019,68025,244
boosting,0.19,0.6274426795814001,0.07998906276291436,0.9357775590551181,0.14738025112385678,3803,43741,70303,261
boosting,0.2,0.645383885934907,0.08333516955688253,0.9306102362204725,0.15297186886969888,3782,41601,72443,282
boosting,0.21,0.6629948860365089,0.08699470728268657,0.9261811023622047,0.15905009401871922,3764,39503,74541,300
boosting,0.22,0.6798608053645816,0.09071724840517137,0.9202755905511811,0.1651542249011945,3740,37487,76557,324
boosting,0.23,0.6953550987232024,0.09445757414042845,0.9146161417322834,0.17123114131060693,3717,35634,78410,347
boosting,0.24,0.7100196430385749,0.0984221589548466,0.9101870078740157,0.1776358441184239,3699,33884,80160,365
boosting,0.25,0.7236766349442882,0.10214993873231591,0.9025590551181102,0.18352846992895025,3668,32240,81804,396
boosting,0.26,0.7364530768449216,0.1059666288110422,0.8954232283464567,0.1895065746647572,3639,30702,83342,425
boosting,0.27,0.7485606394147729,0.11000213005507714,0.8895177165354331,0.19579169713217973,3615,29248,84796,449
boosting,0.28,0.7599569885189826,0.11398963730569948,0.8823818897637795,0.2018973622723306,3586,27873,86171,478
boosting,0.29,0.7704473871371965,0.11785382676747579,0.874507874015748,0.20771478667445936,3554,26602,87442,510
boosting,0.3,0.7805398448877299,0.12186851211072665,0.8666338582677166,0.21368765926465236,3522,25378,88666,542
boosting,0.31,0.7897178853252955,0.1260262134523981,0.8612204724409449,0.2198768689533861,3500,24272,89772,564
boosting,0.32,0.7983794493175738,0.1303208416008386,0.8565452755905512,0.22622258326563768,3481,23230,90814,583
boosting,0.33,0.806253598401463,0.13439794847884368,0.8511318897637795,0.23213986107848728,3459,22278,91766,605
boosting,0.34,0.8138991431571104,0.13844042621892153,0.843996062992126,0.2378640776699029,3430,21346,92698,634
boosting,0.35000000000000003,0.8213753513733193,0.14286912399882584,0.8383366141732284,0.244133137472681,3407,20440,93604,657
boosting,0.36,0.8288007586276966,0.14798675265818373,0.8356299212598425,0.2514438027543314,3396,19552,94492,668
boosting,0.37,0.8354302841467132,0.15230469986881984,0.828494094488189,0.2573077070039356,3367,18740,95304,697
boosting,0.38,0.8418142716835438,0.15671817029070587,0.8211122047244095,0.26320148282525535,3337,17956,96088,727
boosting,0.39,0.8478511193145257,0.16122588189436757,0.8142224409448819,0.2691556857003416,3309,17215,96829,755
boosting,0.4,0.8534476919429674,0.1657160163545505,0.8078248031496063,0.27501570680628273,3283,16528,97516,781
boosting,0.41000000000000003,0.8591119991871846,0.17071638039379974,0.8021653543307087,0.2815198618307426,3260,15836,98208,804
boosting,0.42,0.8644122328716091,0.1756595375094995,0.7962598425196851,0.28782353464377836,3236,15186,98858,828
boosting,0.43,0.8696277982863142,0.18076836412798558,0.7896161417322834,0.2941877521085442,3209,14543,99501,855
boosting,0.44,0.8749449656246825,0.18633540372670807,0.78248031496063,0.3009938476100331,3180,13886,100158,884
boosting,0.45,0.8794154502658583,0.19071350431506018,0.7721456692913385,0.3058777658641193,3138,13316,100728,926
boosting,0.46,0.8836657974057642,0.19572327044025156,0.765748031496063,0.3117611701061911,3112,12788,101256,952
boosting,0.47000000000000003,0.8882463507975751,0.2014510752336754,0.7583661417322834,0.3183391003460207,3082,12217,101827,982
boosting,0.48,0.8920987570698006,0.20624069310951673,0.749753937007874,0.3234950631701879,3047,11727,102317,1017
boosting,0.49,0.8960866325735767,0.21186381186381187,0.7426181102362205,0.3296739308536786,3018,11227,102817,1046
boosting,0.5,0.9003623801943983,0.21866783523225242,0.7367125984251969,0.33723811669294884,2994,10698,103346,1070
boosting,0.51,0.904079317235073,0.2249148049981068,0.7308070866141733,0.34396896172331926,2970,10235,103809,1094
boosting,0.52,0.907195109560741,0.2301009626672928,0.7234251968503937,0.3491479128317796,2940,9837,104207,1124
boosting,0.53,0.9105141057337353,0.2361482923663503,0.7162893700787402,0.3551949240436825,2911,9416,104628,1153
boosting,0.54,0.9133504927693298,0.24093046691299966,0.7059547244094488,0.35925369396443774,2869,9039,105005,1195
boosting,0.55,0.916330815863447,0.24721932568647897,0.7000492125984252,0.36539943488312354,2845,8663,105381,1219
boosting,0.56,0.9193026721305924,0.25349445396338716,0.6916830708661418,0.37101564046723423,2811,8278,105766,1253
boosting,0.5700000000000001,0.9222152606089342,0.26049555867227675,0.6855314960629921,0.37753235314045663,2786,7909,106135,1278
boosting,0.58,0.9250939817793884,0.26788314083276715,0.6791338582677166,0.384213823345166,2760,7543,106501,1304
boosting,0.59,0.9280997053544213,0.27618277395875457,0.672244094488189,0.39151619375179136,2732,7160,106884,1332
boosting,0.6,0.9305974193111389,0.2831811981953625,0.6641240157480315,0.3970577418168445,2699,6832,107212,1365
boosting,0.61,0.9331374674027162,0.2907979478222901,0.655511811023622,0.40287334593572777,2664,6497,107547,1400
boosting,0.62,0.9354404443390795,0.29847198641765704,0.6488681102362205,0.4088689045662454,2637,6198,107846,1427
boosting,0.63,0.9377518881024147,0.30640602920395665,0.640255905511811,0.4144632048423065,2602,5890,108154,1462
boosting,0.64,0.9403004030209638,0.31645569620253167,0.6336122047244095,0.4220965494631588,2575,5562,108482,1489
boosting,0.65,0.9425525789954956,0.32555455827670216,0.624753937007874,0.42805361207114556,2539,5260,108784,1525
boosting,0.66,0.944745487181224,0.3355597114613946,0.6181102362204725,0.434978354978355,2512,4974,109070,1552
boosting,0.67,0.946862193924205,0.3455738620497068,0.609005905511811,0.4409406734366649,2475,4687,109357,1589
boosting,0.68,0.9488349646086632,0.35565280816921957,0.5999015748031497,0.446561040388314,2438,4417,109627,1626
